miRNAnames,1001Trimmed_region_report,1422Trimmed_region_report,1423Trimmed_region_report,1424Trimmed_region_report,1425Trimmed_region_report,1426Trimmed_region_report,1427Trimmed_region_report
hsa-let-7a-3p,0,1,0,0,0,0,1
hsa-let-7a-5p,78,52,41,32,34,9,2539
hsa-let-7b-3p,2,0,0,0,0,0,4
hsa-let-7b-5p,263,278,138,95,139,31,1145
hsa-let-7c-5p,9,24,12,10,12,4,21
hsa-let-7d-3p,4,5,0,0,1,0,84
hsa-let-7d-5p,10,18,2,3,12,9,1225
hsa-let-7e-5p,0,2,0,0,0,1,158
hsa-let-7f-1-3p,0,3,0,0,0,0,3
hsa-let-7f-2-3p,0,2,0,0,0,0,10
hsa-let-7f-5p,39,1479,597,916,1085,322,4293
hsa-let-7g-3p,0,0,0,0,0,0,3
hsa-let-7g-5p,49,64,29,20,25,2,1642
hsa-let-7i-5p,21,84,21,21,51,14,520
hsa-miR-1,2,6,1,0,1,0,25
hsa-miR-100-5p,2,8,1,0,3,0,7
hsa-miR-101-3p,9,28,4,4,18,0,259
hsa-miR-101-5p,0,0,0,0,0,0,1
hsa-miR-103a-2-5p,0,6,2,0,2,0,6
hsa-miR-103a-3p,38,161,45,30,92,12,4480
hsa-miR-103b,38,161,45,30,92,12,4480
hsa-miR-106a-5p,10,55,15,10,20,4,56
hsa-miR-106b-3p,3,22,1,0,3,2,55
hsa-miR-106b-5p,48,239,58,32,95,14,1004
hsa-miR-107,7,38,4,6,12,2,357
hsa-miR-10a-5p,4,5,1,3,3,0,62
hsa-miR-10b-5p,7,8,1,1,4,1,29
hsa-miR-1180-3p,2,11,5,1,1,0,1
hsa-miR-1183,2,0,2,0,1,0,0
hsa-miR-1185-1-3p,0,0,0,0,0,0,15
hsa-miR-1185-2-3p,0,0,0,0,0,0,4
hsa-miR-1185-5p,0,0,0,0,0,0,1
hsa-miR-1197,0,0,0,0,0,0,2
hsa-miR-122-3p,0,0,0,1,0,0,0
hsa-miR-122-5p,24,387,152,174,222,184,132
hsa-miR-1226-3p,0,0,0,0,0,0,2
hsa-miR-1228-5p,0,1,0,0,0,0,2
hsa-miR-1249,2,1,0,0,0,0,7
hsa-miR-1250-5p,0,0,0,0,0,0,3
hsa-miR-1255a,0,0,0,0,0,0,3
hsa-miR-1256,0,0,0,0,0,0,1
hsa-miR-125a-3p,0,0,0,0,0,0,2
hsa-miR-125a-5p,36,9,1,1,4,0,315
hsa-miR-125b-2-3p,0,1,0,0,0,0,0
hsa-miR-125b-5p,35,62,12,43,32,15,81
hsa-miR-126-3p,17,32,7,4,21,3,2034
hsa-miR-126-5p,30,62,23,31,17,8,2192
hsa-miR-1260b,1,0,0,2,2,2,264
hsa-miR-127-3p,0,0,0,1,0,0,37
hsa-miR-127-5p,0,0,0,0,0,0,6
hsa-miR-1270,0,1,0,0,0,0,0
hsa-miR-1271-3p,0,0,0,0,0,0,1
hsa-miR-1273g-3p,1,0,0,0,0,0,0
hsa-miR-1273h-3p,0,0,0,0,0,0,4
hsa-miR-1273h-5p,0,0,0,0,0,0,2
hsa-miR-1277-3p,0,0,0,0,0,0,5
hsa-miR-128-1-5p,0,0,0,0,0,0,1
hsa-miR-128-3p,2,9,0,0,2,0,142
hsa-miR-1285-3p,0,1,0,0,0,0,0
hsa-miR-1287-5p,0,1,0,0,0,0,3
hsa-miR-129-1-3p,0,0,0,0,0,0,1
hsa-miR-129-2-3p,0,0,0,0,2,1,0
hsa-miR-129-5p,1,0,0,0,0,0,0
hsa-miR-1292-5p,0,2,0,0,0,0,1
hsa-miR-1294,5,0,0,0,0,0,0
hsa-miR-1301-3p,0,2,1,0,0,0,22
hsa-miR-1304-3p,0,0,0,0,0,0,6
hsa-miR-1306-5p,10,9,1,0,4,1,31
hsa-miR-1307-3p,1,9,0,6,2,0,20
hsa-miR-1307-5p,1,83,29,44,31,22,411
hsa-miR-130a-3p,14,44,12,12,29,1,1392
hsa-miR-130b-3p,1,3,1,0,4,0,26
hsa-miR-130b-5p,0,1,0,0,0,0,23
hsa-miR-132-3p,0,0,0,0,0,0,1
hsa-miR-132-5p,0,0,0,0,0,0,2
hsa-miR-133a-3p,0,0,0,0,1,0,3
hsa-miR-133a-5p,0,0,0,0,0,0,3
hsa-miR-133b,0,5,0,0,1,1,1
hsa-miR-134-3p,0,1,0,0,0,0,0
hsa-miR-134-5p,1,7,3,9,10,2,98
hsa-miR-1343-3p,0,0,0,0,0,0,2
hsa-miR-135a-5p,0,1,0,0,0,0,7
hsa-miR-136-3p,0,0,0,0,0,0,10
hsa-miR-136-5p,0,2,3,5,5,0,197
hsa-miR-138-5p,0,1,0,0,2,0,3
hsa-miR-139-3p,0,0,0,0,0,0,4
hsa-miR-139-5p,8,11,2,3,3,0,170
hsa-miR-140-3p,2,11,5,2,2,0,52
hsa-miR-140-5p,0,7,0,1,4,1,79
hsa-miR-141-3p,0,5,1,6,7,4,4
hsa-miR-142-3p,15,23,3,3,11,0,1636
hsa-miR-142-5p,0,4,1,0,0,0,61
hsa-miR-143-3p,1,2,0,0,0,0,25
hsa-miR-143-5p,0,0,0,2,0,0,2
hsa-miR-144-3p,24,557,85,17,233,18,219
hsa-miR-144-5p,16,15,2,3,4,1,40
hsa-miR-145-3p,2,0,0,0,0,0,3
hsa-miR-145-5p,55,140,18,15,32,10,697
hsa-miR-146a-5p,11,138,18,86,56,13,2034
hsa-miR-146b-5p,0,147,34,116,103,35,136
hsa-miR-148a-3p,0,29,9,2,17,3,115
hsa-miR-148a-5p,0,1,0,0,0,0,8
hsa-miR-148b-3p,3,13,2,1,1,2,142
hsa-miR-149-5p,0,1,0,0,0,0,0
hsa-miR-150-3p,0,0,0,0,0,0,1
hsa-miR-150-5p,37,44,4,3,13,8,481
hsa-miR-151a-3p,0,2,0,0,1,0,62
